Region,"Snow Depth in Valley (cm)","Snow Depth on Mountain (cm)","New Snow (cm)","Lifts Open",Date
"Alpbach / Ski Juwel Alpbachtal WildschÃ¶nau","10 cm","50 cm",-,5/45,"Heute, 11:01"
"Alpenarena HochhÃ¤derich / Hittisau / Riefensberg","20 cm","30 cm",-,0,"Di, 26.11."
"Annaberg / LungÃ¶tz / Dachstein West",-,-,-,0,"Heute, 02:00"
"Arralifte / Harmanschlag",-,-,-,0,"Gestern, 14:22"
"Astenberg / Wiesing - Achensee",-,-,-,0,"Heute, 07:59"
"Axamer Lizum","30 cm","40 cm","10 cm",2/9,"Heute, 09:00"
"Bad Gastein - Graukogel / Ski amade",-,-,-,0,"Heute, 09:00"
"Bad Hofgastein - Angertal-Bad Gastein / Ski amade","5 cm","35 cm",-,5/18,"Heute, 11:01"
"Bad Kleinkirchheim",-,-,-,0,"Gestern, 11:00"
"Bergeralm / Steinach am Brenner",-,"50 cm",-,4/7,"Heute, 10:00"
"Bergwelt Hahnenkamm","20 cm","43 cm",-,2/4,"Heute, 02:01"
Berwang,"13 cm","30 cm","5 cm",0,"Heute, 03:00"
"BÃ¶dele / Schwarzenberg","10 cm","15 cm",-,0,"Mo, 25.11."
Brandnertal,-,"20 cm",-,4/15,"Heute, 12:00"
"Christlum Achenkirch / Achensee","5 cm","20 cm",-,3/10,"Heute, 12:11"
"Dachstein Gletscher / Schladming Ramsau / Ski amade",-,"110 cm",-,0,"Heute, 12:00"
"Dachstein Krippenstein / Obertraun",-,-,-,0,"Heute, 02:00"
DamÃ¼ls,"30 cm","40 cm",-,0,"Heute, 12:27"
"Diedamskopf / Schoppernau",-,-,-,0,"Heute, 02:00"
"Dorfgastein / Ski amade",-,-,-,,"Gestern, 14:05"
"DreilÃ¤ndereck / Arnoldstein",-,-,-,0,"Heute, 02:00"
"Eggalm Bahnen / Tux-Lanersbach / Zillertal",-,"85 cm",-,17/64,"Heute, 10:50"
"Fageralm - Forstau / Ski amade",-,-,-,0,"Heute, 03:01"
"Faschina / Fontanella","30 cm","40 cm",-,0,"Heute, 12:27"
"Feuerkogel / Ebensee",-,-,-,0,"Heute, 02:01"
"Fieberbrunn / Saalbach Hinterglemm Leogang","50 cm","50 cm",-,12/69,"Heute, 10:00"
"Filzmoos / Ski amade",-,-,-,,"Gestern, 10:53"
"Finkenberger Almbahnen / Finkenberg - Zillertal",-,"85 cm",-,17/64,"Heute, 10:50"
"Gaaler Lifte","50 cm","60 cm",-,3/3,"Heute, 06:49"
"Galsterbergalm / Schladming / Ski amade","10 cm","20 cm",-,0,"Heute, 12:51"
"Gargellen / Montafon","5 cm","40 cm","3 cm",4/8,"Heute, 12:19"
"Gemeindealpe / Mitterbach",-,-,-,0,"Heute, 12:45"
"Gerlitzen Alpe",-,"30 cm",-,10/21,"Heute, 10:00"
"Gerlos / Zillertal Arena",-,-,-,0,"Heute, 08:00"
"Gerlosstein-Hainzenberg / Zillertal Arena",-,-,-,0,"Heute, 03:01"
Glungezer,-,-,-,0,23.11.2024
"Golm / Montafon",-,"30 cm",-,5/9,"Heute, 11:10"
"Gosau / Dachstein West",-,-,-,0,"Heute, 02:01"
"GroÃarl Tal / Ski amade",-,"10 cm",-,,"Di, 26.11."
Gurtis,-,-,-,0,20.11.2024
"Hauser Kaibling / Schladming / Ski amade","10 cm","50 cm","5 cm",6/14,"Gestern, 13:44"
"Hinterstoder / HÃ¶ss",-,"50 cm",-,4/13,"Heute, 09:00"
"Hintertuxer Gletscher / Hintertux / Zillertal",-,"85 cm",-,16/21,"Heute, 12:33"
"Hochficht / BÃ¶hmerwald","10 cm","45 cm",-,3/9,"Heute, 11:01"
"HochfÃ¼gen / Zillertal","30 cm","30 cm",-,4/12,"Heute, 11:04"
Hochkar,-,-,-,0,"Heute, 02:00"
"HochkÃ¶ssen / Unterberg",-,-,-,0,"Heute, 02:01"
"Hochlitten Riefensberg",-,-,-,,"Di, 26.11."
"Hochwurzen / Schladming / Ski amade",-,"60 cm",-,0,"Heute, 12:00"
"Hochzeiger / Jerzens im Pitztal","10 cm","70 cm",-,4/9,"Heute, 10:35"
"Hochzillertal / Zillertal",-,"30 cm",-,6/25,"Heute, 09:00"
"Hotz - Oberweng / Spital am Pyhrn",-,-,-,0,"So, 24.11."
"Imster Bergbahnen",-,-,-,0,"Heute, 02:01"
"Jauerling / Maria Laach","10 cm","15 cm",-,0,22.11.2024
"Kanterlift / Kartitsch - Osttirol",-,-,-,0,"Gestern, 14:27"
"Kappl / Paznaun-Ischgl","20 cm","40 cm",-,0,"Heute, 12:50"
"Karwendel-Bergbahn Pertisau / Achensee",-,"20 cm",-,0,"Heute, 07:59"
"Kasberg / GrÃ¼nau im Almtal",-,"15 cm",-,0,"Mo, 25.11."
"Kaunertaler Gletscher / Kaunertal","30 cm","50 cm",-,5/7,"Heute, 07:20"
Kirchbach,"20 cm","20 cm",-,,"Di, 26.11."
Kirchschlag,-,-,-,0,"Do, 28.11."
"KitzbÃ¼hel / Kirchberg",-,"45 cm","4 cm",12/56,"Heute, 12:11"
