                           Region,Snow Depth in Valley (cm),Snow Depth on Mountain (cm),New Snow (cm),Lifts Open,Date
Alpbach / Ski Juwel Alpbachtal Wildschönau,-,-,-,0,"So, 17.11."
Annaberg / Lungötz / Dachstein West,-,-,-,0,"So, 17.11."
Astenberg / Wiesing - Achensee,-,-,-,0,"Heute, 12:50"
Axamer Lizum,-,-,-,0,"Fr, 15.11."
Bad Gastein - Graukogel / Ski amade,-,-,-,0,"Heute, 12:00"
Bad Hofgastein - Angertal-Bad Gastein / Ski amade,-,-,-,0,"Heute, 12:00"
Bad Kleinkirchheim,-,-,-,0,"Heute, 11:01"
Bergeralm / Steinach am Brenner,-,-,-,0,"So, 17.11."
Bergwelt Hahnenkamm,-,-,-,0,"So, 17.11."
Berwang,-,-,-,0,"Heute, 10:00"
Brandnertal,-,-,-,0,"Gestern, 10:00"
Christlum Achenkirch / Achensee,-,-,-,0,"Heute, 12:51"
Dachstein Gletscher / Schladming Ramsau / Ski amade,-,-,-,0,"Heute, 13:00"
Dachstein Krippenstein / Obertraun,-,-,-,0,"So, 17.11."
Damüls,5 cm,5 cm,-,0,"Heute, 13:00"
Diedamskopf / Schoppernau,-,-,-,0,"So, 17.11."
Dorfgastein / Ski amade,-,-,-,,"Heute, 12:08"
Dreiländereck / Arnoldstein,-,-,-,0,"So, 17.11."
Eggalm Bahnen / Tux-Lanersbach / Zillertal,-,85 cm,-,15/64,"Heute, 00:15"
Fageralm - Forstau / Ski amade,-,-,-,0,"Heute, 13:00"
Faschina / Fontanella,5 cm,5 cm,-,0,"Heute, 13:00"
Feuerkogel / Ebensee,-,-,-,0,"So, 17.11."
Fieberbrunn / Saalbach Hinterglemm Leogang,-,-,-,Feb-69,"Heute, 12:21"
Finkenberger Almbahnen / Finkenberg - Zillertal,-,85 cm,-,15/64,"Heute, 00:15"
Flattnitz,-,-,-,0,"Do, 14.11."
Galsterbergalm / Schladming / Ski amade,-,-,-,0,"Heute, 13:21"
Gemeindealpe / Mitterbach,-,-,-,0,"Heute, 13:15"
Gerlitzen Alpe,-,-,-,0,"So, 17.11."
Gerlos / Zillertal Arena,-,-,-,0,"Heute, 09:00"
Gerlosstein-Hainzenberg / Zillertal Arena,-,-,-,0,"Heute, 03:00"
Glungezer,-,-,-,0,"Sa, 16.11."
